P0467,NYUKI J.W.T.Z. CENTRE,
P0468,KIRIKI  CENTRE,
P0471,MBOZI  CENTRE,
P0474,KISOMACHI  CENTRE,
P0476,MWANGAZA  CENTRE,
P0477,CHIMALA  CENTRE,
P0478,KIPOKE  CENTRE,
P0487,MADUNDA  CENTRE,
P0488,RUTABO  CENTRE,
P0489,SUJI  CENTRE,
P0490,SHEMSANGA  CENTRE,
P0493,AL-HARAMAIN  CENTRE,
P0495,MILALA  CENTRE,
P0496,JITEGEMEE  CENTRE,
P0501,UWELENI  CENTRE,
P0504,MRIKE  CENTRE,
P0505,EKENYWA  CENTRE,
P0506,UNGWASI  CENTRE,
P0508,MLAMA  CENTRE,
P0509,UCHIRA  CENTRE,
P0511,HANDENI  CENTRE,
P0514,UROKI  CENTRE,
P0516,MOMBO  CENTRE,
P0517,KILI  CENTRE,
P0521,MATOMBO  CENTRE,
P0524,RUJEWA  CENTRE,
P0525,MKONO WA MARA  CENTRE,
P0527,ULAYASI  CENTRE,
P0528,SABASABA  CENTRE,
P0533,SARWATT  CENTRE,
P0534,ST.ANTHONY'S MBAGALA CENTRE,
P0538,VWAWA  CENTRE,
P0539,MAGU  CENTRE,
P0541,MARAMBA  CENTRE,
P0544,MKUU  CENTRE,
P0546,PAMBA (I A E)  CENTRE,
P0547,MAZWI  CENTRE,
P0548,SHAMBALAI  CENTRE,
P0549,LUGOBA  CENTRE,
P0550,BUGENE  CENTRE,
P0553,NEWALA  CENTRE,
P0554,NGUDU  CENTRE,
P0560,KASULU  CENTRE,
P0563,TABORA TEACHERS' COLLEGE CENTRE,
P0564,BUSWELU  CENTRE,
P0565,BWASI  CENTRE,
P0578,TAQWA  CENTRE,
P0580,IGOWOLE  CENTRE,
P0581,ILEJE  CENTRE,
P0584,LWANDAI  CENTRE,
P0586,KAISHO  CENTRE,
P0590,WILIMA  CENTRE,
P0591,RUANDA  CENTRE,
P0593,HAGATI  CENTRE,
P0596,LIWALE  CENTRE,
P0600,BUNDA  CENTRE,
P0601,SERENGETI  CENTRE,
P0603,KWAPAKACHA  CENTRE,
P0605,UHURU  CENTRE,
P0606,ZUNZULI  CENTRE,
P0607,LULUMBA  CENTRE,
P0608,NANYAMBA  CENTRE,
P0609,MATAI  CENTRE,
P0610,NKASI  CENTRE,
P0611,KABANGA  CENTRE,
P0612,KAGANGO  CENTRE,
P0613,NYAMPULUKANO  CENTRE,
P0614,NYERERE  CENTRE,
P0616,MWANDIGA  CENTRE,
P0617,LUSANGA  CENTRE,
P0618,LUPALILO  CENTRE,
P0624,RUBALE  CENTRE,
P0629,EDMUND-RICE-SINON  CENTRE,
P0631,UMOJA  CENTRE,
P0632,BONDENI  CENTRE,
P0633,TALLO  CENTRE,
P0638,BUNAZI  CENTRE,
P0640,MBALIZI  CENTRE,
P0641,MEATU  CENTRE,
P0645,VITUKA  CENTRE,
P0648,MASASI DAY  CENTRE,
P0651,UKUMBI  CENTRE,
P0652,POMERINI  CENTRE,
P0653,MWAKAVUTA  CENTRE,
P0658,MWAMAPALALA  CENTRE,
P0660,MOROGORO TEACHERS' COLLEGE CENTRE,
P0661,ISSENYE  CENTRE,
P0662,MWANZI  CENTRE,
P0666,BADRI  CENTRE,
P0667,NYAISHOZI  CENTRE,
P0672,MKWAKWANI  CENTRE,
P0677,TANDAHIMBA  CENTRE,
P0678,MUGANGO  CENTRE,
P0679,KIMANDOLU  CENTRE,
P0681,IVUMWE  CENTRE,
P0682,MPOROTO  CENTRE,
P0686,CHATO  CENTRE,
P0688,MSAKILA  CENTRE,
P0689,ENDASAK  CENTRE,
P0690,ITUNDU  CENTRE,
P0696,TUNDUMA  CENTRE,
P0699,DONGE  CENTRE,
P0702,IKWIRIRI  CENTRE,
P0704,NSHAMBA  CENTRE,
P0706,KALANGALALA  CENTRE,
P0707,KITETO  CENTRE,
P0708,KIPINGO  CENTRE,
P0709,BUKONGO  CENTRE,
P0710,BINZA  CENTRE,
