Region,Council,Ward,Centre,Reg.No.,Ownership,"COBET-Cohort I, M","COBET-Cohort I, F","COBET-Cohort I, T","COBET-Cohort II, M","COBET-Cohort II, F","COBET-Cohort II, T"
Mtwara,Newala TC,Mkunya,MKUNYA,EM.906,Government,5,3,8,1,2,3
Mtwara,Newala TC,Mnekachi,NAMBUNGA,EM.39,Government,1,0,1,0,0,0
Mtwara,Newala TC,Nanguruwe,NANGURUWE,EM.29,Government,3,2,5,0,0,0
Mtwara,Newala TC,Nangwala,LUCHINGU,EM.1,Government,0,1,1,1,1,2
Mtwara,Newala TC,Tulindane,LIKUNA,EM.1736,Government,4,5,9,2,3,5
Mtwara,Tandahimba,Chikongola,CHIKONGOLA,EM.5209,Government,6,3,9,0,0,0
Mtwara,Tandahimba,Kitama 1,MITONDI 'A',EM.12065,Government,0,0,0,1,0,1
Mtwara,Tandahimba,Litehu,MABETI,EM.3914,Government,2,1,3,0,0,0
Mtwara,Tandahimba,Mchichira,MCHICHIRA 'A',EM.158,Government,4,3,7,0,0,0
Mtwara,Tandahimba,Michenjele,MICHENJELE,EM.3916,Government,3,1,4,1,4,5
Mtwara,Tandahimba,Mihambwe,MNYAHI,EM.4329,Government,7,6,13,0,0,0
Mtwara,Tandahimba,Mihambwe,RUVUMA,EM.12069,Government,4,4,8,1,0,1
Mtwara,Tandahimba,Mnyawa,MNYAWA,EM.224,Government,2,1,3,3,2,5
Mtwara,Tandahimba,Mnyawa,JANGWANI,EM.5213,Government,3,0,3,3,1,4
Mtwara,Tandahimba,Tandahimba,MATOGORO,EM.5220,Government,5,4,9,5,4,9
Mwanza,Buchosa,Bukokwa,BUKOKWA,EM.908,Government,15,8,23,22,13,35
Mwanza,Buchosa,Bulyaheke,MANDELA,EM.14458,Government,12,14,26,3,1,4
Mwanza,Buchosa,Bulyaheke,KANYALA,EM.14455,Government,4,4,8,0,0,0
Mwanza,Buchosa,Bupandwa,CHEMA,EM.9912,Government,23,20,43,1,1,2
Mwanza,Buchosa,Iligamba,ILIGAMBA,EM.909,Government,14,11,25,1,2,3
Mwanza,Buchosa,Kafunzo,LUHORONGOMA,EM.5252,Government,11,7,18,4,6,10
Mwanza,Buchosa,Kalebezo,MISUNGWI,EM.12072,Government,30,22,52,15,6,21
Mwanza,Buchosa,Katwe,KAHUNDA,EM.6407,Government,19,12,31,5,4,9
Mwanza,Buchosa,Nyakaliro,LUGASA,EM.12071,Government,9,5,14,6,3,9
Mwanza,Buchosa,Nyakasasa,IRIBA,EM.16892,Government,17,12,29,2,3,5
Mwanza,Buchosa,Nyakasungwa,AZIMIO,EM.14451,Government,7,4,11,0,0,0
Mwanza,Buchosa,Nyakasungwa,IGWANZOZU,EM.6401,Government,5,4,9,0,0,0
Mwanza,Buchosa,Nyanzenda,NYAMABANO,EM.9541,Government,11,6,17,0,0,0
Mwanza,Buchosa,Nyanzenda,MIGUKULAMA,EM.1093,Government,6,9,15,0,0,0
Mwanza,Buchosa,Nyehunge,BUKILIGULU,EM.12070,Government,37,31,68,1,3,4
Mwanza,Buchosa,Nyehunge,NYEHUNGE,EM.1655,Government,23,21,44,0,0,0
Mwanza,Ilemela MC,Bugogwa,BUGOGWA,EM.1508,Government,13,8,21,30,17,47
Mwanza,Ilemela MC,Buswelu,BUSWELU,EM.911,Government,33,29,62,18,19,37
Mwanza,Ilemela MC,Buzuruga,BUZURUGA,EM.5255,Government,23,23,46,34,24,58
Mwanza,Ilemela MC,Ibungilo,NYAMANORO,EM.3341,Government,18,18,36,20,20,40
Mwanza,Ilemela MC,Ibungilo,KILOLELI,EM.6417,Government,4,12,16,12,19,31
Mwanza,Ilemela MC,Ilemela,JESHINI,EM.12784,Government,6,5,11,5,4,9
Mwanza,Ilemela MC,Kahama,KAHAMA,EM.7864,Government,14,8,22,16,3,19
Mwanza,Ilemela MC,Kawekamo,PASIANSI,EM.11020,Government,9,6,15,9,6,15
Mwanza,Ilemela MC,Kayenze,CHASUBI,EM.13742,Government,11,11,22,5,6,11
Mwanza,Ilemela MC,Kirumba,KIRUMBA,EM.2296,Government,16,5,21,6,9,15
Mwanza,Ilemela MC,Kiseke,JUHUDI,EM.16385,Government,50,46,96,10,8,18
Mwanza,Ilemela MC,Kitangiri,KITANGIRI,EM.2809,Government,13,5,18,10,12,22
Mwanza,Ilemela MC,MECCO,NUNDU,EM.15336,Government,28,32,60,17,25,42
Mwanza,Ilemela MC,Nyamhongolo,NYAMHONGOLO,EM.5259,Government,42,26,68,7,5,12
Mwanza,Ilemela MC,Nyasaka,NYASAKA,EM.15339,Government,34,27,61,24,31,55
Mwanza,Ilemela MC,Pasiansi,ISENGA,EM.2295,Government,10,22,32,6,14,20
Mwanza,Ilemela MC,Shibula,MHONZE,EM.5257,Government,3,5,8,8,10,18
Mwanza,Kwimba,Bugando,NYAMIGAMBA,EM.5276,Government,0,0,0,5,3,8
Mwanza,Kwimba,Bungulwa,BUNGULWA,EM.775,Government,0,1,1,0,0,0
Mwanza,Kwimba,Igongwa,MANGULUMA,EM.7274,Government,6,6,12,0,0,0
Mwanza,Kwimba,Ilula,KIBITILWA,EM.2810,Government,3,2,5,0,0,0
Mwanza,Kwimba,Iseni,BUGANDANDO,EM.13357,Government,10,6,16,0,0,0
Mwanza,Kwimba,Iseni,ISENI),S.1515,Government,0,0,0,1,1,2
Mwanza,Kwimba,Lyoma,KINAMWELI,EM.15132,Government,5,4,9,0,0,0
Mwanza,Kwimba,Maligisu,KADASHI,EM.1509,Government,13,13,26,4,1,5
Mwanza,Kwimba,Mantare,MANTARE,EM.7275,Government,8,7,15,0,0,0
Mwanza,Kwimba,Mwakilyambiti,MWAMAKOYE,EM.12102,Government,6,2,8,3,4,7
Mwanza,Kwimba,Ng'hundi,JOJIRO,EM.776,Government,5,3,8,0,0,0
Mwanza,Kwimba,Ngudu,KAKORA,EM.300,Government,9,9,18,0,0,0
Mwanza,Kwimba,Nyamilama,NYAMILAMA,EM.1511,Government,13,10,23,0,0,0
Mwanza,Kwimba,Sumve,BUDUSHI,EM.582,Government,4,4,8,2,2,4
Mwanza,Magu,Bukandwe,WELAMASONGA,EM.5297,Government,10,8,18,6,7,13
Mwanza,Magu,Chabula,CHABULA,EM.1661,Government,4,9,13,9,10,19
Mwanza,Magu,Isandula,ISANDULA,EM.10338,Government,2,2,4,8,6,14
Mwanza,Magu,Itumbili,ITUMBILI,EM.8384,Government,17,7,24,7,9,16
Mwanza,Magu,Kahangara,SHINEMBO,EM.8793,Government,12,9,21,11,6,17
Mwanza,Magu,Kahangara,BUNDILYA,EM.5279,Government,2,3,5,9,0,9
Mwanza,Magu,Kisesa,KISESA 'A',EM.914,Government,81,63,144,29,26,55
Mwanza,Magu,Kitongo sima,KIGANGAMA,EM.5288,Government,12,4,16,2,2,4
Mwanza,Magu,Kongolo,KONGOLO,EM.2297,Government,2,1,3,1,1,2
Mwanza,Magu,Mwamanga,MWAMANGA,EM.1516,Government,6,6,12,4,2,6
Mwanza,Magu,Ng'haya,MWABULENGA,EM.3343,Government,12,7,19,17,7,24
Mwanza,Magu,Ng'haya,CHANDULU,EM.5280,Government,5,2,7,8,2,10
Mwanza,Misungwi,Idetemya,BULOLAMBESHI,EM.4346,Government,4,3,7,4,3,7
Mwanza,Misungwi,Kanyelele,GAMBAJIGA,EM.7286,Government,2,5,7,0,0,0
Mwanza,Misungwi,Kijima,KIJIMA,EM.1100,Government,3,6,9,0,0,0
Mwanza,Misungwi,Misasi,MISASI,EM.1348,Government,5,1,6,2,1,3
Mwanza,Misungwi,Misungwi,MBELA,EM.9001,Government,1,4,5,1,0,1
Mwanza,Misungwi,Mondo,NTULYA,EM.13754,Government,7,2,9,10,1,11
Mwanza,Misungwi,Mwaniko,NGUGE,EM.917,Government,3,1,4,0,0,0
Mwanza,Misungwi,Usagara,BUSAGARA,EM.516,Government,2,3,5,7,8,15
Mwanza,Misungwi,Usagara,SANJO,EM.12113,Government,0,0,0,1,2,3
Mwanza,Misungwi,Usagara,NYANG'HOMANGO,EM.4352,Government,2,1,3,0,0,0
Mwanza,Mwanza CC,Buhongwa,BUHONGWA,EM.1351,Government,4,6,10,5,6,11
Mwanza,Mwanza CC,Butimba,ISENI B,EM.12120,Government,20,14,34,12,11,23
Mwanza,Mwanza CC,Butimba,TAMBUKARELI,EM.8649,Government,12,11,23,5,6,11
Mwanza,Mwanza CC,Igoma,SHAMALIWA,EM.8716,Government,34,22,56,25,18,43
Mwanza,Mwanza CC,Igoma,IGOMA,EM.3600,Government,14,12,26,0,0,0
Mwanza,Mwanza CC,Isamilo,NYAKABUNGO,EM.1666,Government,9,7,16,0,0,0
Mwanza,Mwanza CC,Isamilo,KILELENI,EM.12123,Government,7,5,12,0,0,0
Mwanza,Mwanza CC,Lwanhima,LWANHIMA,EM.5315,Government,4,2,6,12,4,16
Mwanza,Mwanza CC,Mahina,NYANGULUGULU,EM.12140,Government,33,21,54,44,24,68
Mwanza,Mwanza CC,Mahina,MAHINA,EM.14674,Government,15,8,23,16,8,24
Mwanza,Mwanza CC,Mhandu,MHANDU,EM.12128,Government,15,12,27,8,5,13
Mwanza,Mwanza CC,Mhandu,NYAKATO C,EM.12138,Government,13,13,26,0,0,0
Mwanza,Mwanza CC,Mirongo,MIRONGO,EM.58,Government,6,0,6,0,0,0
Mwanza,Mwanza CC,Mkolani,IBANDA,EM.1520,Government,16,12,28,10,18,28
Mwanza,Mwanza CC,Mkuyuni,MKUYUNI,EM.2407,Government,28,17,45,24,25,49
Mwanza,Mwanza CC,Pamba,SAHARA,EM.12148,Government,1,6,7,3,5,8
Mwanza,Mwanza CC,Pamba,MIEMBENI,EM.12130,Government,6,4,10,0,2,2
Mwanza,Sengerema,Buyagu,BUYAGU,EM.1521,Government,1,0,1,0,0,0
Mwanza,Sengerema,Chifunfu,NYAKAHAKO,EM.6471,Government,11,13,24,0,0,0
Mwanza,Sengerema,Ibondo,IBONDO,EM.4357,Government,13,6,19,0,0,0
Mwanza,Sengerema,Igalula,NGOMA,EM.15678,Government,4,2,6,4,3,7
Mwanza,Sengerema,Kagunga,NYANCHENCHE,EM.2498,Government,10,10,20,0,0,0
Mwanza,Sengerema,Katunguru,BUGALAMA,EM.1980,Government,1,5,6,0,0,0
Mwanza,Sengerema,Kishinda,KISHINDA,EM.6467,Government,1,1,2,0,0,0
Mwanza,Sengerema,Ngoma,IPANDIKILO,EM.5318,Government,6,7,13,0,0,0
Mwanza,Sengerema,Nyampulukano,NYAMPULUKANO,EM.12813,Government,23,24,47,0,0,0
Mwanza,Sengerema,Sima,SIMA,EM.1670,Government,4,3,7,0,0,0
Mwanza,Ukerewe,Bukiko,BUKIKO,EM.638,Government,5,0,5,1,4,5
Mwanza,Ukerewe,Bwisya,KUMAMBE,EM.12159,Government,1,0,1,4,3,7
Mwanza,Ukerewe,Kakerege,NAKATUNGURU,EM.2684,Government,18,11,29,0,0,0
Mwanza,Ukerewe,Kakukuru,MURUTIRIMA,EM.1834,Government,15,5,20,4,0,4
Mwanza,Ukerewe,Mukituntu,MAHANDE,EM.6488,Government,0,0,0,7,9,16
Mwanza,Ukerewe,Muriti,IGONGO,EM.6485,Government,14,13,27,3,2,5
Mwanza,Ukerewe,Namagondo,NAMAGONDO,EM.13367,Government,6,4,10,0,0,0
Mwanza,Ukerewe,Nansio,NANSIO,EM.162,Government,16,16,32,10,2,12
Mwanza,Ukerewe,Ngoma,HAMKOKO,EM.923,Government,25,13,38,7,4,11
Mwanza,Ukerewe,Nyamanga,MUBULE,EM.1673,Government,15,3,18,19,9,28
Njombe,Ludewa,Ludewa,SONGAMBELE,EM.10345,Government,3,0,3,0,0,0
Njombe,Ludewa,Ludewa,KIMBILA,EM.10340,Government,0,0,0,0,1,1
Njombe,Ludewa,Lugarawa,LUGARAWA,EM.521,Government,3,1,4,0,0,0
Njombe,Ludewa,Lugarawa,MATIKA,EM.6505,Government,2,0,2,0,0,0
Njombe,Ludewa,Lumbila,LUMBILA,EM.5333,Government,2,2,4,0,0,0
Njombe,Ludewa,Lupingu,NTUMBATI,EM.7298,Government,0,0,0,3,1,4
Njombe,Ludewa,Lupingu,NKWIMBILI,EM.9389,Government,0,0,0,2,0,2
Njombe,Ludewa,Madilu,ILININDA,EM.4370,Government,0,0,0,1,2,3
Njombe,Ludewa,Madilu,MADILU,EM.405,Government,2,0,2,0,0,0
Njombe,Ludewa,Madilu,MJIMWEMA,EM.18378,Government,0,0,0,1,0,1
Njombe,Ludewa,Mavanga,MBUGANI,EM.16910,Government,2,0,2,0,0,0
Njombe,Ludewa,Milo,MAPOGORO,EM.6504,Government,1,1,2,0,0,0
Njombe,Makambako TC,Kivavi,MAGEGELE,EM.16912,Government,4,8,12,0,2,2
Njombe,Makambako TC,Lyamkena,LYAMKENA,EM.15693,Government,8,5,13,4,2,6
Njombe,Makambako TC,Lyamkena,IKWETE,EM.15686,Government,11,3,14,3,0,3
Njombe,Makambako TC,Mahongole,MTANGA,EM.15706,Government,9,2,11,0,0,0
Njombe,Makambako TC,Mahongole,KIFUMBE,EM.15689,Government,4,0,4,2,2,4
Njombe,Makambako TC,Majengo,MAJENGO,EM.15696,Government,2,3,5,1,1,2
Njombe,Makambako TC,Majengo,KILIMAHEWA,EM.16911,Government,5,2,7,0,0,0
Njombe,Makambako TC,Makambako,JUHUDI,EM.15687,Government,6,9,15,0,0,0
Njombe,Makambako TC,Mjimwema,MAKAMBAKO,EM.15697,Government,3,0,3,1,0,1
Njombe,Makambako TC,Mlowa,MLUDZA,EM.15704,Government,0,1,1,0,0,0
Njombe,Makete,Ikuwo,IKUWO,EM.1359,Government,3,0,3,0,0,0
Njombe,Makete,Iwawa,IVALALILA,EM.6514,Government,2,0,2,0,0,0
Njombe,Makete,Mang'oto,MANG'OTO,EM.2815,Government,1,0,1,0,0,0
Njombe,Makete,Matamba,MATAMBA,EM.924,Government,2,0,2,0,0,0
Njombe,Makete,Mbalatse,LUPOMBWE,EM.7303,Government,0,0,0,0,1,1
Njombe,Makete,Mlondwe,MLONDWE,EM.2817,Government,3,1,4,0,0,0
Njombe,Njombe,Igongolo,IGONGOLO,EM.3607,Government,4,2,6,2,5,7
Njombe,Njombe,Igongolo,IBIKI,EM.7309,Government,2,1,3,0,0,0
Njombe,Njombe,Ikondo,IKONDO,EM.2162,Government,2,0,2,0,0,0
Njombe,Njombe,Lupembe,IHANG'ANA,EM.11448,Government,0,0,0,1,0,1
Njombe,Njombe,Mfriga,IDITIMA,EM.10656,Government,1,1,2,0,0,0
Njombe,Njombe,Mtwango,LUNGUYA,EM.9196,Government,6,3,9,0,0,0
Njombe,Njombe,Mtwango,ILUNDA,EM.7884,Government,3,1,4,3,0,3
Njombe,Njombe,Ninga,NINGA,EM.3164,Government,0,0,0,2,0,2
Njombe,Njombe TC,Ihanga,IHANGA,EM.1981,Government,2,1,3,0,0,0
Njombe,Njombe TC,Iwungilo,IGOMA,EM.783,Government,1,1,2,0,0,0
Njombe,Njombe TC,Luponde,SENGA,EM.12164,Government,1,2,3,0,0,0
Njombe,Njombe TC,Njombe Mjini,MPECHI,EM.926,Government,7,3,10,0,0,0
Njombe,Njombe TC,Njombe Mjini,KAMBARAGE,EM.12163,Government,1,3,4,0,0,0
Njombe,Njombe TC,Ramadhani,KIBENA,EM.1530,Government,7,3,10,0,0,0
Njombe,Njombe TC,Ramadhani,WIKICHI,EM.2957,Government,4,1,5,0,0,0
Njombe,Njombe TC,Uwemba,UWEMBA,EM.250,Government,3,0,3,0,0,0
Njombe,Wanging'ombe,Igima,MLEVELA,EM.15787,Government,7,0,7,0,0,0
Njombe,Wanging'ombe,Ilembula,IGELEHEDZA,EM.15728,Government,4,2,6,3,6,9
Njombe,Wanging'ombe,Itulahumba,SAKALENGA,EM.16915,Government,5,2,7,0,0,0
Njombe,Wanging'ombe,Kidugala,MKEHA,EM.18583,Government,2,0,2,2,0,2
Njombe,Wanging'ombe,Kidugala,MASAGE,EM.15779,Government,2,0,2,2,0,2
Njombe,Wanging'ombe,Kidugala,KIDUGALA,EM.15764,Government,2,0,2,0,0,0
Njombe,Wanging'ombe,Kidugala,MASILU,EM.15781,Government,1,0,1,0,0,0
Njombe,Wanging'ombe,Luduga,MAMBEGU,EM.15778,Government,1,0,1,0,0,0
Njombe,Wanging'ombe,Uhenga,UHENGA,EM.15803,Government,4,3,7,5,6,11
Njombe,Wanging'ombe,Wangama,WANGAMA,EM.15814,Government,0,0,0,1,4,5
Njombe,Wanging'ombe,Wanging'ombe,KATENGE,EM.15763,Government,4,0,4,10,8,18
Pwani,Bagamoyo,Fukayosi,KIDOMOLE,EM.6547,Government,11,11,22,0,0,0
Pwani,Bagamoyo,Fukayosi,MTAKUJA,EM.15344,Government,9,3,12,0,0,0
Pwani,Bagamoyo,Fukayosi,FUKAYOSI,EM.1747,Government,3,4,7,0,0,0
Pwani,Bagamoyo,Kerege,MAPINGA,EM.2414,Government,8,7,15,0,0,0
Pwani,Bagamoyo,Kisutu,KIZUIANI,EM.3165,Government,4,3,7,1,0,1
Pwani,Bagamoyo,Makurunge,KIFUDE,EM.19632,Government,20,6,26,1,3,4
Pwani,Bagamoyo,Makurunge,BIGILO,EM.3609,Government,6,4,10,0,0,0
Pwani,Bagamoyo,Mapinga,KIHARAKA,EM.14684,Government,15,10,25,4,2,6
Pwani,Bagamoyo,Mapinga,KIMELE,EM.17886,Government,1,12,13,0,0,0
Pwani,Bagamoyo,Mapinga,MTAMBANI,EM.6551,Government,3,2,5,4,2,6
Pwani,Bagamoyo,Nianjema,KIDONGO CHEKUNDU,EM.12820,Government,56,35,91,0,0,0
Pwani,Bagamoyo,Nianjema,NIANJEMA,EM.3610,Government,39,24,63,0,0,0
Pwani,Bagamoyo,Yombo,YOMBO,EM.251,Government,3,2,5,0,1,1
Pwani,Bagamoyo,Zinga,MSHIKAMANO,EM.17885,Government,21,16,37,1,2,3
Pwani,Chalinze,Bwilingu,BWILNGU B,EM.12167,Government,15,9,24,0,0,0
Pwani,Chalinze,Bwilingu,MDAULA,EM.3169,Government,5,3,8,0,0,0
Pwani,Chalinze,Kibindu,KIBINDU,EM.927,Government,25,19,44,4,2,6
Pwani,Chalinze,Kibindu,KWAKONJE,EM.14688,Government,25,13,38,0,0,0
Pwani,Chalinze,Kibindu,MJEMBE,EM.12170,Government,19,13,32,0,0,0
Pwani,Chalinze,Kibindu,KWAMDUMA,EM.2415,Government,21,3,24,0,0,0
Pwani,Chalinze,Kibindu,KWAMSANJA,EM.5362,Government,14,10,24,0,0,0
Pwani,Chalinze,Kibindu,PERA,EM.14690,Government,4,5,9,0,0,0
Pwani,Chalinze,Kimange,KIMANGE,EM.1984,Government,13,3,16,7,7,14
Pwani,Chalinze,Kiwangwa,KIWANGWA,EM.928,Government,17,4,21,35,15,50
Pwani,Chalinze,Kiwangwa,MAGOGONI,EM.16409,Government,1,0,1,0,0,0
Pwani,Chalinze,Lugoba,MINDUTULIENI,EM.3354,Government,4,3,7,1,5,6
Pwani,Chalinze,Lugoba,SALENI,EM.12171,Government,4,2,6,0,0,0
Pwani,Chalinze,Mandera,MUUNGANO,EM.3611,Government,4,5,9,0,0,0
Pwani,Chalinze,Mandera,MANDERA,EM.1985,Government,4,1,5,0,0,0
Pwani,Chalinze,Mbwewe,MBWEWE,EM.3353,Government,25,16,41,0,0,0
Pwani,Chalinze,Mbwewe,AMANI VODA,EM.16404,Government,9,2,11,0,0,0
Pwani,Chalinze,Mbwewe,MPAJI,EM.11454,Government,4,2,6,0,0,0
Pwani,Chalinze,Miono,KIKARO,EM.1748,Government,17,12,29,0,0,0
Pwani,Chalinze,Mkange,MKANGE,EM.1111,Government,31,15,46,35,15,50
Pwani,Chalinze,Mkange,MANDAMAZINGARA,EM.3167,Government,12,3,15,0,0,0
Pwani,Chalinze,Msata,KIHANGAIKO,EM.5361,Government,4,11,15,0,0,0
Pwani,Chalinze,Msoga,CHANGA,EM.18407,Government,4,7,11,0,0,0
Pwani,Chalinze,Msoga,LUBAYA,EM.4388,Government,4,4,8,0,0,0
Pwani,Chalinze,Pera,MALIVUNDO,EM.930,Government,1,1,2,0,0,0
Pwani,Chalinze,Talawanda,MSANGA,EM.5365,Government,1,4,5,0,0,0
Pwani,Chalinze,Talawanda,LUDIGA,EM.17183,Government,1,2,3,0,0,0
Pwani,Chalinze,Ubenazomozi,MGOGODO,EM.7318,Government,4,5,9,0,0,0
Pwani,Chalinze,Vigwaza,KITONGA,EM.14687,Government,3,5,8,0,0,0
Pwani,Chalinze,Vigwaza,VIGWAZA,EM.3355,Government,4,4,8,0,0,0
Pwani,Kibaha,Bokomnemela,BOKOMNEMELA,EM.2574,Government,8,1,9,1,1,2
Pwani,Kibaha,Gwata,GWATA,EM.2818,Government,1,1,2,0,0,0
Pwani,Kibaha,Gwata,NGWALE,EM.13372,Government,1,0,1,0,0,0
Pwani,Kibaha,Kawawa,MSONGOLA,EM.9548,Government,2,2,4,3,5,8
Pwani,Kibaha,Kikongo,TUMAINI,EM.8241,Government,3,1,4,0,0,0
Pwani,Kibaha,Kilangalanga,MUUNGANO,EM.12174,Government,1,7,8,7,5,12
Pwani,Kibaha,Kilangalanga,KILANGALANGA,EM.12827,Government,6,3,9,2,0,2
Pwani,Kibaha,Kwala,MPERAMUMBI,EM.10659,Government,5,1,6,0,0,0
Pwani,Kibaha,Magindu,MIYOMBO,EM.12829,Government,3,4,7,0,0,0
Pwani,Kibaha,Mlandizi,VIKURUTI,EM.6568,Government,0,4,4,0,0,0
Pwani,Kibaha,Mlandizi,MAPINDUZI,EM.12828,Government,3,0,3,0,0,0
Pwani,Kibaha,Mtambani,MLANDIZI,EM.2416,Government,13,8,21,10,12,22
Pwani,Kibaha,Soga,VIKUGE,EM.5367,Government,6,3,9,0,0,0
Pwani,Kibaha,Soga,MISUFINI,EM.9547,Government,1,1,2,0,0,0
Pwani,Kibaha TC,Kibaha,MUUNGANO,EM.15346,Government,10,6,16,2,6,8
Pwani,Kibaha TC,Kibaha,JITEGEMEE,EM.12832,Government,5,1,6,0,0,0
Pwani,Kibaha TC,Kibaha,MWENDAPOLE,EM.7890,Government,1,0,1,0,0,0
Pwani,Kibaha TC,Kongowe,MWAMBISI,EM.12838,Government,15,4,19,7,4,11
Pwani,Kibaha TC,Kongowe,KONGOWE,EM.2163,Government,10,8,18,6,2,8
Pwani,Kibaha TC,Kongowe,BAMBA,EM.15819,Government,3,4,7,4,0,4
Pwani,Kibaha TC,Kongowe,MIEMBESABA,EM.7889,Government,0,2,2,0,0,0
Pwani,Kibaha TC,Mailimoja,MAENDELEO,EM.14195,Government,8,12,20,10,9,19
Pwani,Kibaha TC,Mailimoja,MUHEZA,EM.18475,Government,3,7,10,1,2,3
Pwani,Kibaha TC,Mbwawa,MBWAWA,EM.1113,Government,7,6,13,2,0,2
Pwani,Kibaha TC,Mbwawa,MISWE,EM.7324,Government,1,3,4,4,4,8
Pwani,Kibaha TC,Misugusugu,MISUGUSUGU,EM.5369,Government,4,2,6,1,1,2
Pwani,Kibaha TC,Misugusugu,ZOGOWALE,EM.7326,Government,2,3,5,0,0,0
Pwani,Kibaha TC,Mkuza,JITIHADA,EM.12833,Government,7,3,10,4,3,7
Pwani,Kibaha TC,Mkuza,KIBAHA,EM.1986,Government,5,5,10,1,1,2
Pwani,Kibaha TC,Mkuza,BUNGO,EM.15820,Government,4,1,5,0,0,0
Pwani,Kibaha TC,Msangani,GALAGAZA,EM.12831,Government,6,7,13,7,0,7
Pwani,Kibaha TC,Msangani,MSANGANI,EM.3171,Government,1,2,3,1,3,4
Pwani,Kibaha TC,Msangani,KIDENGE,EM.14900,Government,1,2,3,0,0,0
Pwani,Kibaha TC,Msangani,KUMBA,EM.11455,Government,2,0,2,0,0,0
Pwani,Kibaha TC,Pangani,KIDIMU,EM.12836,Government,13,13,26,2,4,6
Pwani,Kibaha TC,Pangani,PANGANI,EM.6569,Government,3,4,7,0,6,6
Pwani,Kibaha TC,Pangani,VIKAWE,EM.3939,Government,5,1,6,0,0,0
Pwani,Kibaha TC,Picha ya ndege,LULANZI,EM.14194,Government,7,7,14,13,13,26
Pwani,Kibaha TC,Picha ya ndege,MKUZA,EM.5370,Government,6,7,13,0,0,0
Pwani,Kibaha TC,Sofu,SOFU,EM.18884,Government,5,1,6,0,0,0
Pwani,Kibaha TC,Tumbi,KAMBARAGE,EM.12835,Government,2,5,7,0,0,0
Pwani,Kibaha TC,Tumbi,MWANALUGALI,EM.11456,Government,0,2,2,0,1,1
Pwani,Kibaha TC,Viziwa ziwa,VIZIWAZIWA,EM.7325,Government,2,2,4,0,0,0
Pwani,Kibiti,Bungu,NYAMBILI,EM.3357,Government,3,3,6,8,9,17
Pwani,Kibiti,Bungu,BUNGU,EM.931,Government,13,3,16,0,0,0
Pwani,Kibiti,Kibiti,NYAMAKONGE,EM.6572,Government,14,14,28,2,3,5
Pwani,Kibiti,Mahege,HANGA,EM.3356,Government,5,7,12,0,0,0
Pwani,Kibiti,Maparoni,MAPARONI,EM.3616,Government,3,1,4,0,0,0
Pwani,Kibiti,Mbuchi,MBWERA,EM.5373,Government,2,1,3,2,2,4
Pwani,Kibiti,Mjawa,JARIBU MPAKANI,EM.2164,Government,14,5,19,0,0,0
Pwani,Kibiti,Mlanzi,MACHIPI,EM.10850,Government,3,2,5,0,0,0
Pwani,Kisarawe,Chole,CHOLESAMVULA,EM.3173,Government,32,13,45,15,12,27
Pwani,Kisarawe,Kazimzumbwi,SANZE,EM.1367,Government,5,8,13,4,3,7
Pwani,Kisarawe,Kazimzumbwi,VIGAMA,EM.16417,Government,5,2,7,3,0,3
Pwani,Kisarawe,Kibuta,BWAMA,EM.5374,Government,7,4,11,3,8,11
Pwani,Kisarawe,Kibuta,MLEGELE,EM.15349,Government,2,3,5,5,3,8
Pwani,Kisarawe,Kibuta,MLOO,EM.16416,Government,5,1,6,0,0,0
Pwani,Kisarawe,Kibuta,KIBUTA,EM.7344,Government,2,3,5,0,0,0
Pwani,Kisarawe,Kiluvya,KILUVYA 'B',EM.11029,Government,4,7,11,4,1,5
Pwani,Kisarawe,Kurui,KURUI MZENGA,EM.6576,Government,5,3,8,3,1,4
Pwani,Kisarawe,Kurui,ZEGERO,EM.1838,Government,2,0,2,5,0,5
Pwani,Kisarawe,Kurui,MTAKAYO,EM.7904,Government,3,1,4,1,2,3
Pwani,Kisarawe,Mafizi,GWATA,EM.4398,Government,13,18,31,3,4,7
Pwani,Kisarawe,Mafizi,NYANI,EM.6581,Government,10,6,16,1,2,3
Pwani,Kisarawe,Mafizi,MAFIZI,EM.7901,Government,6,4,10,1,1,2
Pwani,Kisarawe,Marui,KISANGIRE,EM.18205,Government,3,2,5,2,3,5
Pwani,Kisarawe,Marumbo,MARUMBO,EM.1532,Government,1,3,4,4,2,6
Pwani,Kisarawe,Msanga,MSANGA,EM.204,Government,0,0,0,3,0,3
Pwani,Kisarawe,Msimbu,LUHANGAI,EM.12844,Government,0,2,2,4,1,5
Pwani,Kisarawe,Msimbu,CHAMBASI,EM.18206,Government,0,3,3,0,0,0
Pwani,Kisarawe,Vihingo,SANGWE,EM.7348,Government,3,0,3,1,2,3
Pwani,Kisarawe,Vikumburu,VIKUMBURU,EM.7905,Government,2,5,7,3,2,5
Pwani,Mafia,Baleni,BALENI,EM.3177,Government,1,4,5,0,0,0
Pwani,Mafia,Baleni,KUNGWI,EM.10663,Government,3,2,5,0,0,0
Pwani,Mafia,Baleni,KIFINGE,EM.10854,Government,5,0,5,0,0,0
Pwani,Mafia,Baleni,KIPINGWI,EM.13377,Government,2,2,4,0,0,0
Pwani,Mafia,Kanga,BWENI,EM.7906,Government,4,1,5,1,0,1
Pwani,Mafia,Kanga,KANGA,EM.8601,Government,3,0,3,0,0,0
