S/N,REGION,COUNCIL,SCHOOL NAME,Reg#," July, 2022 "," Augut, 2022 "," September, 2022 "," October, 2022 "," November, 2022 "," December, 2022 "," January, 2023 "," February, 2023 "," March, 2023 "," April, 2023 "," May, 2023 "," June, 2023 ", TOTAL 
27,Arusha,Arusha CC, MURONGOINE , EM.6949 ,"391,724.32","389,625.13","412,424.63","409,913.49","409,684.00","408,866.00","408,529.00","408,200.00","407,823.00","407,823.00","407,823.00","407,739.00","4,870,174.57"
28,Arusha,Arusha CC, MWANGAZA , EM.13510 ,"822,310.19","817,903.55","802,049.37","797,165.91","796,719.00","795,129.00","794,474.00","793,833.00","793,100.00","793,100.00","793,100.00","792,938.00","9,591,822.02"
29,Arusha,Arusha CC, NADOSOITO , EM.4036 ,"332,654.78","330,872.13","361,758.21","359,555.57","359,354.00","358,637.00","358,341.00","358,052.00","357,722.00","357,722.00","357,722.00","357,648.00","4,250,038.70"
30,Arusha,Arusha CC, NAURA , EM.657 ,"192,235.09","191,204.92","172,265.82","171,216.94","171,121.00","170,779.00","170,639.00","170,501.00","170,344.00","170,344.00","170,344.00","170,309.00","2,091,303.76"
31,Arusha,Arusha CC, NGARENARO , EM.2858 ,"1,156,519.44","1,150,321.81","1,123,781.11","1,116,938.72","1,116,312.00","1,114,085.00","1,113,166.00","1,112,269.00","1,111,241.00","1,111,241.00","1,111,241.00","1,111,014.00","13,448,130.08"
32,Arusha,Arusha CC, NJIRO HILL , EM.8276 ,"384,988.32","382,925.23","405,837.99","403,366.96","403,141.00","402,336.00","402,005.00","401,680.00","401,309.00","401,309.00","401,309.00","401,227.00","4,791,434.50"
33,Arusha,Arusha CC, OLASITI , EM.993 ,"1,756,541.62","1,747,128.56","1,766,737.94","1,755,980.75","1,754,996.00","1,751,494.00","1,750,050.00","1,748,639.00","1,747,024.00","1,747,024.00","1,747,024.00","1,746,667.00","21,019,306.86"
34,Arusha,Arusha CC, OLKEREYAN , EM.6950 ,"441,467.10","439,101.34","453,464.43","450,703.41","450,451.00","449,552.00","449,181.00","448,819.00","448,404.00","448,404.00","448,404.00","448,313.00","5,376,264.26"
35,Arusha,Arusha CC, OLOIRIEN , EM.7608 ,"499,500.33","496,823.58","475,250.98","472,357.31","472,092.00","471,150.00","470,762.00","470,382.00","469,948.00","469,948.00","469,948.00","469,852.00","5,708,014.20"
36,Arusha,Arusha CC, OSUNYAI , EM.11567 ,"1,730,115.77","1,720,844.32","1,791,057.82","1,780,152.56","1,779,154.00","1,775,604.00","1,774,140.00","1,772,710.00","1,771,072.00","1,771,072.00","1,771,072.00","1,770,710.00","21,207,704.46"
37,Arusha,Arusha CC, SALEI , EM.13512 ,"722,306.49","718,435.75","684,503.28","680,335.53","679,954.00","678,597.00","678,038.00","677,491.00","676,865.00","676,865.00","676,865.00","676,727.00","8,226,983.06"
38,Arusha,Arusha CC, SANAWARI , EM.302 ,"914,541.58","909,640.68","941,382.01","935,650.20","935,126.00","933,260.00","932,490.00","931,738.00","930,878.00","930,878.00","930,878.00","930,687.00","11,157,149.47"
39,Arusha,Arusha CC, SHANGARAO , EM.6951 ,"533,698.48","530,838.47","524,397.41","521,204.50","520,912.00","519,873.00","519,444.00","519,025.00","518,546.00","518,546.00","518,546.00","518,440.00","6,263,470.86"
40,Arusha,Arusha CC, SINON , EM.736 ,"1,831,155.77","1,821,342.87","1,876,177.40","1,864,753.86","1,863,708.00","1,859,989.00","1,858,456.00","1,856,957.00","1,855,242.00","1,855,242.00","1,855,242.00","1,854,863.00","22,253,128.90"
41,Arusha,Arusha CC, SOKONI I , EM.10550 ,"1,568,969.91","1,560,562.03","1,579,272.20","1,569,656.44","1,568,776.00","1,565,646.00","1,564,355.00","1,563,094.00","1,561,650.00","1,561,650.00","1,561,650.00","1,561,331.00","18,786,612.58"
42,Arusha,Arusha CC, SOMBETINI , EM.2344 ,"1,202,116.98","1,195,675.00","1,120,741.13","1,113,917.24","1,113,293.00","1,111,071.00","1,110,155.00","1,109,260.00","1,108,235.00","1,108,235.00","1,108,235.00","1,108,009.00","13,508,943.35"
