S/N,REGION,COUNCIL,SCHOOL NAME,Reg#,"July, 2022","Augut, 2022","September, 2022","October, 2022","November, 2022","December, 2022","January, 2023","February, 2023","March, 2023","April, 2023","May, 2023","June, 2023", TOTAL 
27,Arusha,Arusha CC,SINON,S.955,"2,243,542.19","2,226,886.99","2,595,825.75","2,582,305.37","2,581,567.00","2,573,798.00","2,572,884.00","2,572,428.00","2,567,761.00","2,565,200.00","2,565,200.00","2,557,956.00","30,205,354.30"
28,Arusha,Arusha CC,SOMBETINI,S.3659,"1,835,728.12","1,822,100.39","1,808,304.00","1,798,885.44","1,798,371.00","1,792,959.00","1,792,322.00","1,792,005.00","1,788,753.00","1,786,969.00","1,786,969.00","1,781,924.00","21,585,289.95"
29,Arusha,Arusha CC,SORENYI,S.3680,"686,844.74","681,745.87","530,721.18","527,956.91","527,806.00","526,218.00","526,031.00","525,937.00","524,983.00","524,460.00","524,460.00","522,979.00","6,630,142.69"
30,Arusha,Arusha CC,SUYE,S.4557,"1,764,558.36","1,751,458.95","1,596,443.54","1,588,128.44","1,587,674.00","1,582,896.00","1,582,334.00","1,582,054.00","1,579,184.00","1,577,609.00","1,577,609.00","1,573,154.00","19,343,103.29"
31,Arusha,Arusha CC,THEMI,S.2622,"1,887,693.35","1,873,679.84","1,639,243.63","1,630,705.61","1,630,239.00","1,625,333.00","1,624,756.00","1,624,468.00","1,621,521.00","1,619,904.00","1,619,904.00","1,615,329.00","20,012,776.44"
32,Arusha,Arusha CC,UNGA LTD,S.5694,,"353,207.15","337,050.75","335,295.21","335,199.00","334,191.00","334,072.00","334,013.00","333,407.00","333,074.00","333,074.00","332,134.00","3,694,717.11"
33,Arusha,Arusha DC,BANGATA,S.906,"533,208.42","529,250.08","521,091.15","518,377.05","518,229.00","516,669.00","516,486.00","516,394.00","515,457.00","514,943.00","514,943.00","513,489.00","6,228,536.70"
34,Arusha,Arusha DC,EINOTI,S.647,"964,745.73","1,002,435.53","1,101,032.44","1,082,524.55","1,082,215.00","1,078,958.00","1,078,575.00","1,078,384.00","1,076,427.00","1,075,354.00","1,075,354.00","1,072,317.00","12,768,322.26"
35,Arusha,Arusha DC,ENDEVES,S.2809,"422,499.89","419,363.41","469,731.04","467,284.44","467,151.00","465,745.00","465,580.00","465,497.00","464,653.00","464,189.00","464,189.00","462,878.00","5,498,760.78"
36,Arusha,Arusha DC,ENYOITO,S.920,"1,435,821.81","1,425,162.82","1,197,332.65","1,191,096.33","1,190,756.00","1,187,172.00","1,186,751.00","1,186,540.00","1,184,388.00","1,183,206.00","1,183,206.00","1,179,865.00","14,731,297.62"
37,Arusha,Arusha DC,ILBORU,S.24,"952,319.27","945,249.62","803,571.78","902,636.01","902,378.00","899,662.00","899,343.00","899,183.00","897,552.00","896,657.00","896,657.00","894,125.00","10,789,333.67"
38,Arusha,Arusha DC,ILKIDINGA,S.732,"1,613,181.39","1,601,205.75","1,740,893.86","1,731,826.39","1,731,331.00","1,726,121.00","1,725,508.00","1,725,202.00","1,722,072.00","1,720,355.00","1,720,355.00","1,715,497.00","20,473,548.39"
39,Arusha,Arusha DC,KIMNYAKI,S.541,"1,098,047.84","1,089,896.35","1,073,212.38","1,067,622.54","1,067,317.00","1,064,105.00","1,063,727.00","1,063,539.00","1,061,609.00","1,060,551.00","1,060,551.00","1,057,556.00","12,827,734.11"
40,Arusha,Arusha DC,KIRANYI,S.1791,"1,767,947.39","1,754,822.83","1,990,204.41","1,979,838.41","1,979,272.00","1,973,316.00","1,972,615.00","1,972,266.00","1,968,687.00","1,966,724.00","1,966,724.00","1,961,170.00","23,253,587.04"
41,Arusha,Arusha DC,KISERIANI,S.5348,"186,397.01","185,013.27","283,550.63","284,202.61","284,121.00","283,266.00","283,166.00","283,116.00","282,602.00","282,320.00","282,320.00","281,523.00","3,201,597.52"
42,Arusha,Arusha DC,LENGIJAVE,S.4609,"437,185.71","433,940.21","481,501.07","478,993.16","478,856.00","477,415.00","477,246.00","477,161.00","476,295.00","475,820.00","475,820.00","474,477.00","5,644,710.16"
43,Arusha,Arusha DC,LIKAMBA,S.5349,"187,526.69","186,134.56","287,830.64","286,331.47","286,250.00","285,388.00","285,287.00","285,236.00","284,719.00","284,435.00","284,435.00","283,632.00","3,227,205.36"
44,Arusha,Arusha DC,LOSIKITO,S.5110,"376,183.06","373,390.42","446,190.99","443,867.00","443,740.00","442,405.00","442,248.00","442,169.00","441,367.00","440,927.00","440,927.00","439,682.00","5,173,096.46"
45,Arusha,Arusha DC,LOSINONI,S.5347,"178,489.26","177,164.22","214,000.47","211,821.42","211,761.00","211,124.00","211,049.00","211,011.00","210,628.00","210,418.00","210,418.00","209,824.00","2,467,708.37"
46,Arusha,Arusha DC,MATEVES,S.1926,"611,156.26","606,619.27","644,141.43","640,786.41","640,603.00","638,675.00","638,448.00","638,335.00","637,177.00","636,542.00","636,542.00","634,744.00","7,603,769.36"
47,Arusha,Arusha DC,MLANGARINI,S.1040,"1,505,861.90","1,494,682.96","1,322,522.93","1,319,892.27","1,319,515.00","1,315,544.00","1,315,077.00","1,314,844.00","1,312,458.00","1,311,149.00","1,311,149.00","1,307,447.00","16,150,143.06"
48,Arusha,Arusha DC,MRINGA,S.329,"1,900,119.82","1,966,747.12","1,876,784.16","1,867,008.91","1,866,475.00","1,860,858.00","1,860,197.00","1,859,868.00","1,856,493.00","1,854,642.00","1,854,642.00","1,849,405.00","22,473,240.01"
49,Arusha,Arusha DC,MUKULAT,S.542,"1,204,237.65","1,195,297.85","1,195,192.65","1,188,967.47","1,188,628.00","1,185,051.00","1,184,630.00","1,184,420.00","1,182,271.00","1,181,092.00","1,181,092.00","1,177,757.00","14,248,636.62"
50,Arusha,Arusha DC,MUSA,S.2501,"375,053.38","372,269.12","365,940.81","365,099.23","364,995.00","363,896.00","363,767.00","363,703.00","363,043.00","362,681.00","362,681.00","361,657.00","4,384,785.55"
51,Arusha,Arusha DC,MWANDET,S.1268,"1,490,046.40","1,478,984.87","1,749,453.87","1,755,243.84","1,754,742.00","1,749,461.00","1,748,840.00","1,748,530.00","1,745,358.00","1,743,617.00","1,743,617.00","1,738,693.00","20,446,586.97"
