S/N,REGION,COUNCIL,SCHOOL NAME,Reg#,"July, 2022","Augut, 2022","September, 2022","October, 2022","November, 2022","December, 2022","January, 2023","February, 2023","March, 2023","April, 2023","May, 2023","June, 2023", TOTAL 
367,Dar es Salaam,Ilala MC,VIWEGE,S.3272,"1,553,308.41","1,541,777.25","1,474,463.27","1,466,783.51","1,466,364.00","1,461,951.00","1,461,432.00","1,461,173.00","1,458,522.00","1,457,067.00","1,457,067.00","1,452,953.00","17,712,861.44"
368,Dar es Salaam,Ilala MC,ZANAKI,S.11,"1,145,494.35","1,136,990.64","1,084,982.40","1,105,941.99","1,105,626.00","1,102,299.00","1,101,907.00","1,101,712.00","1,099,713.00","1,098,616.00","1,098,616.00","1,095,514.00","13,277,412.39"
369,Dar es Salaam,Ilala MC,ZAWADI,S.3254,"1,387,245.62","1,376,947.24","1,310,752.90","1,303,925.83","1,303,553.00","1,299,630.00","1,299,168.00","1,298,938.00","1,296,582.00","1,295,289.00","1,295,289.00","1,291,631.00","15,758,951.60"
370,Dar es Salaam,Ilala MC,ZINGIZIWA,S.3279,"1,605,273.64","1,593,356.71","1,597,513.54","1,589,192.87","1,588,739.00","1,583,957.00","1,583,395.00","1,583,114.00","1,580,242.00","1,578,666.00","1,578,666.00","1,574,208.00","19,036,323.76"
371,Dar es Salaam,Kigamboni MC,ABOUD JUMBE,S.1674,"1,268,629.34","1,259,211.53","1,399,563.10","1,401,853.33","1,401,453.00","1,397,235.00","1,396,739.00","1,396,491.00","1,393,958.00","1,392,567.00","1,392,567.00","1,388,635.00","16,488,902.30"
372,Dar es Salaam,Kigamboni MC,KIBADA,S.3293,"823,535.88","817,422.27","851,721.89","847,285.68","847,043.00","844,494.00","844,194.00","844,045.00","842,513.00","841,673.00","841,673.00","839,297.00","10,084,897.71"
373,Dar es Salaam,Kigamboni MC,KIBUGUMO,S.3296,"720,735.10","715,384.64","743,651.65","739,778.33","739,567.00","737,341.00","737,079.00","736,949.00","735,612.00","734,878.00","734,878.00","732,803.00","8,808,656.72"
374,Dar es Salaam,Kigamboni MC,KIDETE,S.3301,"706,049.28","700,807.84","740,441.64","737,649.47","737,439.00","735,219.00","734,958.00","734,828.00","733,495.00","732,763.00","732,763.00","730,694.00","8,757,107.23"
375,Dar es Salaam,Kigamboni MC,KIMBIJI,S.3295,"1,023,489.03","1,015,891.05","1,014,362.25","1,009,078.93","1,008,790.00","1,005,755.00","1,005,397.00","1,005,219.00","1,003,395.00","1,002,395.00","1,002,395.00","999,564.00","12,095,731.26"
376,Dar es Salaam,Kigamboni MC,KISARAWE II,S.2371,"1,579,291.03","1,567,566.98","1,590,023.52","1,611,545.89","1,611,085.00","1,606,237.00","1,605,666.00","1,605,382.00","1,602,469.00","1,600,871.00","1,600,871.00","1,596,350.00","19,177,358.41"
377,Dar es Salaam,Kigamboni MC,KISOTA,S.3298,"1,074,324.58","1,066,349.21","851,721.89","847,285.68","847,043.00","844,494.00","844,194.00","844,045.00","842,513.00","841,673.00","841,673.00","839,297.00","10,584,613.36"
378,Dar es Salaam,Kigamboni MC,MINAZINI,S.3297,"895,835.32","889,184.99","955,512.12","950,535.32","950,264.00","947,404.00","947,067.00","946,900.00","945,182.00","944,239.00","944,239.00","941,573.00","11,257,935.75"
379,Dar es Salaam,Kigamboni MC,MIZIMBINI,S.3294,"821,276.52","815,179.68","744,721.65","740,842.76","740,631.00","738,402.00","738,140.00","738,009.00","736,670.00","735,935.00","735,935.00","733,857.00","9,019,599.61"
380,Dar es Salaam,Kigamboni MC,NGUVA,S.3292,"939,892.80","932,915.40","1,050,742.33","1,048,462.81","1,048,163.00","1,045,009.00","1,044,637.00","1,044,452.00","1,042,558.00","1,041,518.00","1,041,518.00","1,038,577.00","12,318,445.34"
381,Dar es Salaam,Kigamboni MC,PAUL MAKONDA,S.5483,"199,953.16","198,468.78","369,150.82","367,228.09","367,123.00","366,018.00","365,888.00","365,823.00","365,160.00","364,796.00","364,796.00","363,765.00","4,058,169.85"
382,Dar es Salaam,Kigamboni MC,PEMBAMNAZI,S.4718,"824,665.56","818,543.56","813,201.80","808,966.23","808,735.00","806,301.00","806,015.00","805,872.00","804,410.00","803,608.00","803,608.00","801,338.00","9,705,264.15"
383,Dar es Salaam,Kigamboni MC,SOMANGILA,S.2216,"745,588.04","740,053.08","741,511.64","737,649.47","737,439.00","735,219.00","734,958.00","734,828.00","733,495.00","732,763.00","732,763.00","730,694.00","8,836,961.23"
384,Dar es Salaam,Kigamboni MC,TUNGI,S.3299,"938,763.12","931,794.10","985,472.18","980,339.34","980,059.00","977,110.00","976,763.00","976,590.00","974,818.00","973,845.00","973,845.00","971,096.00","11,640,494.75"
385,Dar es Salaam,Kigamboni MC,VIJIBWENI,S.3300,"815,628.13","809,573.22","856,001.90","851,543.40","851,300.00","848,738.00","848,437.00","848,286.00","846,747.00","845,903.00","845,903.00","843,514.00","10,111,574.64"
386,Dar es Salaam,Kinondoni MC,BOKO,S.1340,"1,462,934.10","1,452,073.85","1,324,662.93","1,317,763.41","1,317,387.00","1,313,422.00","1,312,956.00","1,312,723.00","1,310,341.00","1,309,034.00","1,309,034.00","1,305,338.00","16,047,669.30"
387,Dar es Salaam,Kinondoni MC,BOKO MTAMBANI,S.4033,"809,979.73","803,966.75","888,101.97","883,476.28","883,224.00","880,566.00","880,253.00","880,097.00","878,500.00","877,624.00","877,624.00","875,146.00","10,418,558.73"
388,Dar es Salaam,Kinondoni MC,BUNJU A,S.3850,"1,693,388.59","1,680,817.52","1,717,353.80","1,708,408.95","1,707,921.00","1,702,781.00","1,702,176.00","1,701,874.00","1,698,787.00","1,697,092.00","1,697,092.00","1,692,300.00","20,399,991.87"
389,DAR ES SALAAM,KINONDONI MC,DANIEL CHONGOLO,S.5653,"257,566.78","255,654.70","243,960.54","242,689.87","242,620.00","241,890.00","241,804.00","241,762.00","241,323.00","241,082.00","241,082.00","240,402.00","2,931,836.89"
390,Dar es Salaam,Kinondoni MC,HANANASIFU,S.3821,"1,178,255.04","1,169,508.12","819,621.82","961,179.61","960,905.00","958,013.00","957,673.00","957,503.00","955,766.00","954,813.00","954,813.00","952,117.00","11,780,167.59"
391,Dar es Salaam,Kinondoni MC,KAMBANGWA,S.727,"1,673,054.37","1,660,634.26","1,741,963.86","1,732,890.82","1,732,395.00","1,727,182.00","1,726,568.00","1,726,263.00","1,723,131.00","1,721,412.00","1,721,412.00","1,716,551.00","20,603,457.31"
392,Dar es Salaam,Kinondoni MC,KAWE UKWAMANI,S.2358,"1,572,512.95","1,560,839.22","1,615,703.58","1,607,288.17","1,606,829.00","1,601,993.00","1,601,424.00","1,601,140.00","1,598,235.00","1,596,641.00","1,596,641.00","1,592,133.00","19,151,379.92"
393,Dar es Salaam,Kinondoni MC,KIGOGO,S.4136,"1,143,234.99","1,134,748.06","1,137,412.52","1,131,488.29","1,131,165.00","1,127,761.00","1,127,360.00","1,127,160.00","1,125,115.00","1,123,993.00","1,123,993.00","1,120,819.00","13,554,249.86"
394,Dar es Salaam,KINONDONI MC,KIJITONYAMA,S.5293,"832,573.31","826,392.61","1,213,382.69","1,207,062.77","1,206,718.00","1,203,086.00","1,202,659.00","1,202,446.00","1,200,264.00","1,199,067.00","1,199,067.00","1,195,681.00","13,688,399.37"
395,Dar es Salaam,Kinondoni MC,KISAUKE,S.4134,"1,046,082.61","1,038,316.90","1,120,292.48","1,114,457.43","1,114,139.00","1,110,786.00","1,110,391.00","1,110,195.00","1,108,180.00","1,107,075.00","1,107,075.00","1,103,949.00","13,190,939.42"
396,Dar es Salaam,Kinondoni MC,KONDO,S.4132,"1,473,101.21","1,462,165.48","1,429,523.17","1,422,077.48","1,421,671.00","1,417,393.00","1,416,889.00","1,416,638.00","1,414,068.00","1,412,658.00","1,412,658.00","1,408,669.00","17,107,511.34"
397,Dar es Salaam,KINONDONI MC,MABWE,S.4137,"1,197,459.58","1,188,570.10","1,142,762.53","1,136,810.44","1,136,485.00","1,133,065.00","1,132,663.00","1,132,462.00","1,130,408.00","1,129,280.00","1,129,280.00","1,126,091.00","13,715,336.65"
398,Dar es Salaam,Kinondoni MC,MABWE TUMAINI,S.5221,"218,028.02","216,409.46","517,881.15","257,591.88","257,518.00","256,743.00","256,652.00","256,607.00","256,141.00","255,886.00","255,886.00","255,163.00","3,260,506.50"
399,Dar es Salaam,Kinondoni MC,MAENDELEO,S.4141,"1,154,531.78","1,145,960.98","1,117,082.47","1,111,264.14","1,110,946.00","1,107,603.00","1,107,210.00","1,107,014.00","1,105,005.00","1,103,903.00","1,103,903.00","1,100,786.00","13,375,209.37"
400,Dar es Salaam,KINONDONI MC,MAGOMENI,S.5294,"901,483.72","894,791.45","1,124,572.49","1,118,715.14","1,118,395.00","1,115,030.00","1,114,634.00","1,114,436.00","1,112,414.00","1,111,305.00","1,111,305.00","1,108,167.00","12,945,248.80"
401,Dar es Salaam,Kinondoni MC,MAKONGO JUU,S.4259,"1,336,410.07","1,326,489.08","1,083,912.40","1,078,266.83","1,077,959.00","1,074,715.00","1,074,333.00","1,074,142.00","1,072,194.00","1,071,124.00","1,071,124.00","1,068,100.00","13,408,769.39"
402,Dar es Salaam,Kinondoni MC,MAKUMBUSHO,S.3176,"2,274,043.52","2,257,161.89","1,984,854.40","1,974,516.26","1,973,952.00","1,968,011.00","1,967,312.00","1,966,964.00","1,963,395.00","1,961,437.00","1,961,437.00","1,955,898.00","24,208,982.07"
403,Dar es Salaam,Kinondoni MC,MBEZI JUU,S.5175,"843,870.10","837,605.53","961,932.13","956,921.90","956,648.00","953,769.00","953,431.00","953,262.00","951,532.00","950,583.00","950,583.00","947,899.00","11,218,036.66"
404,Dar es Salaam,Kinondoni MC,MBOPO,S.3820,"634,879.51","630,166.41","729,741.62","725,940.75","725,733.00","723,549.00","723,292.00","723,164.00","721,852.00","721,132.00","721,132.00","719,096.00","8,499,678.29"
405,Dar es Salaam,Kinondoni MC,MBWENI,S.2360,"864,204.32","857,788.80","736,161.63","718,489.75","718,284.00","716,123.00","715,868.00","715,742.00","714,443.00","713,730.00","713,730.00","711,715.00","8,896,279.49"
406,Dar es Salaam,Kinondoni MC,MBWENI TETA,S.4133,"1,175,995.68","1,167,265.54","1,323,592.93","1,162,356.74","1,162,024.00","1,158,527.00","1,158,116.00","1,157,911.00","1,155,810.00","1,154,657.00","1,154,657.00","1,151,397.00","14,082,309.89"
407,DAR ES SALAAM,KINONDONI MC,MICHAEL TARIMO,S.5660,"98,282.06","97,552.45","93,090.21","92,605.34","92,579.00","92,300.00","92,267.00","92,251.00","92,084.00","91,992.00","91,992.00","91,732.00","1,118,727.06"
408,Dar es Salaam,Kinondoni MC,MIKOCHENI,S.4896,"802,071.98","796,117.71","706,201.56","702,523.31","702,322.00","700,209.00","699,960.00","699,836.00","698,566.00","697,870.00","697,870.00","695,899.00","8,599,446.56"
409,Dar es Salaam,Kinondoni MC,MIVUMONI,S.5174,"1,225,701.55","1,216,602.41","1,078,562.39","1,072,944.69","1,072,638.00","1,069,410.00","1,069,030.00","1,068,841.00","1,066,901.00","1,065,837.00","1,065,837.00","1,062,828.00","13,135,133.03"
410,Dar es Salaam,Kinondoni MC,MTAKUJA BEACH,S.2365,"1,653,849.83","1,641,572.29","1,627,473.60","1,625,383.47","1,624,919.00","1,620,029.00","1,619,453.00","1,619,166.00","1,616,229.00","1,614,617.00","1,614,617.00","1,610,058.00","19,487,367.19"
411,Dar es Salaam,Kinondoni MC,MZIMUNI,S.5176,"1,432,432.78","1,421,798.95","1,325,732.94","1,318,827.84","1,318,451.00","1,314,483.00","1,314,016.00","1,313,783.00","1,311,400.00","1,310,092.00","1,310,092.00","1,306,392.00","15,997,501.50"
412,Dar es Salaam,Kinondoni MC,NJECHELE,S.4256,"585,173.64","580,829.54","681,591.51","678,041.43","677,848.00","675,808.00","675,568.00","675,448.00","674,222.00","673,550.00","673,550.00","671,648.00","7,923,278.12"
413,Dar es Salaam,Kinondoni MC,OYSTERBAY,S.2364,"1,318,335.21","1,308,548.40","1,289,352.86","1,282,637.25","1,282,271.00","1,278,412.00","1,277,958.00","1,277,731.00","1,275,413.00","1,274,141.00","1,274,141.00","1,270,543.00","15,409,483.72"
414,Dar es Salaam,Kinondoni MC,SALMA KIKWETE,S.3177,"1,818,782.94","1,805,281.00","1,581,463.50","1,573,226.43","1,572,777.00","1,568,044.00","1,567,487.00","1,567,209.00","1,564,365.00","1,562,805.00","1,562,805.00","1,558,392.00","19,302,637.88"
415,DAR ES SALAAM,KINONDONI MC,SONGORO MNYONGE,S.5661,"546,764.56","542,705.59","517,881.15","515,183.76","515,036.00","513,487.00","513,304.00","513,213.00","512,282.00","511,771.00","511,771.00","510,326.00","6,223,725.06"
416,Dar es Salaam,Kinondoni MC,TURIANI,S.2357,"1,749,872.53","1,736,882.15","1,500,143.32","1,492,329.81","1,491,903.00","1,487,413.00","1,486,885.00","1,486,622.00","1,483,924.00","1,482,445.00","1,482,445.00","1,478,258.00","18,359,122.82"
417,Dar es Salaam,Kinondoni MC,TWIGA,S.2362,"1,430,173.42","1,419,556.36","1,304,332.89","1,297,539.26","1,297,168.00","1,293,265.00","1,292,805.00","1,292,576.00","1,290,231.00","1,288,944.00","1,288,944.00","1,285,305.00","15,780,839.93"
418,Dar es Salaam,Temeke MC,BARABARA YA MWINYI,S.3283,"1,542,011.62","1,530,564.32","1,255,112.78","1,248,575.51","1,248,219.00","1,244,462.00","1,244,020.00","1,243,800.00","1,241,543.00","1,240,305.00","1,240,305.00","1,236,803.00","15,515,721.24"
419,Dar es Salaam,Temeke MC,BUZA,S.2387,"1,612,051.71","1,600,084.46","1,328,942.94","1,326,278.85","1,325,900.00","1,321,910.00","1,321,440.00","1,321,206.00","1,318,809.00","1,317,493.00","1,317,493.00","1,313,773.00","16,425,381.97"
420,Dar es Salaam,Temeke MC,CHAMAZI,S.2386,"3,168,749.16","3,145,225.59","3,473,227.69","3,455,137.35","3,454,150.00","3,443,755.00","3,442,531.00","3,441,921.00","3,435,677.00","3,432,250.00","3,432,250.00","3,422,558.00","40,747,431.79"
421,Dar es Salaam,Temeke MC,CHANGANYIKENI,S.3291,"2,124,925.91","2,109,151.28","2,255,565.00","2,243,816.86","2,243,175.00","2,236,425.00","2,235,630.00","2,235,234.00","2,231,179.00","2,228,954.00","2,228,954.00","2,222,660.00","26,595,670.04"
422,Dar es Salaam,Temeke MC,CHANGOMBE,S.845,"608,896.90","604,376.68","591,711.31","590,758.23","590,589.00","588,812.00","588,603.00","588,499.00","587,431.00","586,845.00","586,845.00","585,188.00","7,098,555.12"
423,Dar es Salaam,Temeke MC,CHARAMBE,S.3287,"2,712,358.91","2,692,223.40","2,905,056.43","2,889,925.42","2,889,099.00","2,880,405.00","2,879,382.00","2,878,871.00","2,873,648.00","2,870,782.00","2,870,782.00","2,862,676.00","34,205,209.16"
424,Dar es Salaam,TEMEKE MC,DIPLOMASIA,S.5367,"1,470,841.86","1,459,922.89","2,033,004.50","2,022,415.58","2,021,837.00","2,015,753.00","2,015,037.00","2,014,680.00","2,011,025.00","2,009,019.00","2,009,019.00","2,003,346.00","23,085,900.83"
425,Dar es Salaam,Temeke MC,KARIBUNI,S.5129,"1,450,507.64","1,439,739.63","1,687,393.74","1,678,604.93","1,678,125.00","1,673,075.00","1,672,481.00","1,672,184.00","1,669,150.00","1,667,486.00","1,667,486.00","1,662,777.00","19,619,009.93"
426,Dar es Salaam,Temeke MC,KEKO,S.4144,"1,582,680.06","1,570,930.86","1,251,902.77","1,245,382.22","1,245,026.00","1,241,279.00","1,240,838.00","1,240,619.00","1,238,368.00","1,237,133.00","1,237,133.00","1,233,639.00","15,564,930.92"
427,Dar es Salaam,Temeke MC,KIBASILA,S.37,"1,436,951.49","1,426,284.12","1,594,303.53","1,625,383.47","1,624,919.00","1,620,029.00","1,619,453.00","1,619,166.00","1,616,229.00","1,614,617.00","1,614,617.00","1,610,058.00","19,022,010.61"
428,Dar es Salaam,Temeke MC,KIBASILA B,S.5146,"2,902,144.95","2,880,600.55","3,043,086.74","3,027,236.79","3,026,371.00","3,017,264.00","3,016,192.00","3,015,658.00","3,010,186.00","3,007,184.00","3,007,184.00","2,998,693.00","35,951,801.03"
429,Dar es Salaam,Temeke MC,KICHANGA,S.4146,"1,736,316.39","1,723,426.64","1,495,863.31","1,488,072.09","1,487,647.00","1,483,170.00","1,482,643.00","1,482,380.00","1,479,691.00","1,478,215.00","1,478,215.00","1,474,041.00","18,289,680.43"
430,Dar es Salaam,Temeke MC,KIJICHI,S.3284,"2,379,103.65","2,361,442.10","2,366,845.24","2,354,517.51","2,353,844.00","2,346,761.00","2,345,927.00","2,345,511.00","2,341,256.00","2,338,921.00","2,338,921.00","2,332,316.00","28,205,365.50"
431,Dar es Salaam,Temeke MC,KINGUGI,S.4148,"2,152,038.20","2,136,062.30","1,750,523.88","1,722,246.53","1,721,754.00","1,716,573.00","1,715,963.00","1,715,659.00","1,712,546.00","1,710,838.00","1,710,838.00","1,706,007.00","21,471,048.90"
432,Dar es Salaam,Temeke MC,KURASINI,S.2370,"2,336,175.85","2,318,832.98","2,377,545.27","2,365,161.80","2,364,486.00","2,357,370.00","2,356,532.00","2,356,115.00","2,351,840.00","2,349,495.00","2,349,495.00","2,342,860.00","28,225,908.90"
433,Dar es Salaam,Temeke MC,LUMO,S.3282,"1,538,622.59","1,527,200.45","1,334,292.95","1,327,343.28","1,326,964.00","1,322,970.00","1,322,500.00","1,322,266.00","1,319,867.00","1,318,551.00","1,318,551.00","1,314,828.00","16,293,956.27"
434,Dar es Salaam,Temeke MC,MALELA,S.3289,"2,283,080.95","2,266,132.23","2,528,415.60","2,515,246.32","2,514,527.00","2,506,960.00","2,506,069.00","2,505,625.00","2,501,080.00","2,498,585.00","2,498,585.00","2,491,530.00","29,615,836.10"
435,Dar es Salaam,Temeke MC,MBAGALA,S.1317,"4,476,917.26","4,443,682.35","3,750,358.31","3,933,066.09","3,931,942.00","3,920,086.00","3,918,704.00","3,918,022.00","3,910,913.00","3,907,013.00","3,907,013.00","3,895,981.00","47,913,698.01"
436,Dar es Salaam,Temeke MC,MBAGALA KUU,S.5430,"615,674.97","611,104.44","1,311,822.91","1,304,990.26","1,304,617.00","1,300,691.00","1,300,229.00","1,299,999.00","1,297,640.00","1,296,346.00","1,296,346.00","1,292,685.00","14,232,145.58"
437,Dar es Salaam,Temeke MC,MBANDE,S.3285,"3,477,151.49","3,451,338.45","3,251,737.20","3,232,671.64","3,231,747.00","3,222,022.00","3,220,877.00","3,220,307.00","3,214,464.00","3,211,258.00","3,211,258.00","3,202,190.00","39,147,021.78"
438,Dar es Salaam,Temeke MC,MIBURANI,S.2217,"1,940,788.26","1,926,380.59","1,865,014.13","1,855,300.19","1,854,770.00","1,849,188.00","1,848,531.00","1,848,204.00","1,844,850.00","1,843,011.00","1,843,011.00","1,837,806.00","22,356,854.17"
439,Dar es Salaam,Temeke MC,MIKWAMBE,S.3290,"2,328,268.10","2,310,983.93","2,449,235.42","2,495,022.17","2,494,309.00","2,486,802.00","2,485,919.00","2,485,479.00","2,480,969.00","2,478,495.00","2,478,495.00","2,471,496.00","29,445,473.63"
440,Dar es Salaam,Temeke MC,NDALALA,S.5156,"1,295,741.64","1,286,122.55","1,961,314.34","1,919,165.94","1,918,617.00","1,912,843.00","1,912,164.00","1,911,825.00","1,908,357.00","1,906,453.00","1,906,453.00","1,901,070.00","21,740,126.47"
441,Dar es Salaam,Temeke MC,NZASA,S.3288,"2,666,042.08","2,646,250.41","2,822,666.25","2,807,964.37","2,807,162.00","2,798,714.00","2,797,719.00","2,797,224.00","2,792,149.00","2,789,364.00","2,789,364.00","2,781,488.00","33,296,107.10"
442,Dar es Salaam,Temeke MC,PENDA MOYO,S.4145,"1,589,458.14","1,577,658.61","1,255,112.78","1,248,575.51","1,248,219.00","1,244,462.00","1,244,020.00","1,243,800.00","1,241,543.00","1,240,305.00","1,240,305.00","1,236,803.00","15,610,262.04"
443,Dar es Salaam,Temeke MC,RELINI,S.4147,"1,701,296.34","1,688,666.57","1,719,493.81","1,710,537.81","1,710,049.00","1,704,903.00","1,704,297.00","1,703,995.00","1,700,903.00","1,699,207.00","1,699,207.00","1,694,409.00","20,436,964.53"
444,Dar es Salaam,Temeke MC,SAKU,S.3286,"2,594,872.31","2,575,608.98","2,642,905.85","2,629,140.25","2,628,389.00","2,620,479.00","2,619,548.00","2,619,084.00","2,614,332.00","2,611,725.00","2,611,725.00","2,604,350.00","31,372,159.39"
445,Dar es Salaam,Temeke MC,TANDIKA,S.2369,"2,171,242.74","2,155,124.27","1,944,194.31","1,934,067.95","1,933,515.00","1,927,696.00","1,927,011.00","1,926,670.00","1,923,175.00","1,921,257.00","1,921,257.00","1,915,831.00","23,601,041.27"
446,Dar es Salaam,Temeke MC,TEMEKE,S.1673,"2,891,977.84","2,870,508.91","2,605,455.77","2,600,400.66","2,599,657.00","2,591,834.00","2,590,913.00","2,590,454.00","2,585,754.00","2,583,175.00","2,583,175.00","2,575,881.00","31,669,186.19"
447,Dar es Salaam,Temeke MC,TOANGOMA,S.2215,"2,333,916.49","2,316,590.40","2,391,455.30","2,343,873.21","2,343,203.00","2,336,151.00","2,335,322.00","2,334,908.00","2,330,672.00","2,328,347.00","2,328,347.00","2,321,773.00","28,044,558.40"
448,Dar es Salaam,Temeke MC,UHAMIAJI,S.5366,"3,181,175.63","3,157,559.81","3,276,347.26","3,259,282.37","3,258,351.00","3,248,545.00","3,247,391.00","3,246,816.00","3,240,925.00","3,237,693.00","3,237,693.00","3,228,550.00","38,820,329.06"
449,Dar es Salaam,Temeke MC,WAILESI,S.3175,"2,178,020.81","2,161,852.03","2,121,814.70","2,110,763.21","2,110,160.00","2,103,809.00","2,103,062.00","2,102,690.00","2,098,875.00","2,096,781.00","2,096,781.00","2,090,861.00","25,375,469.75"
450,Dar es Salaam,Ubungo MC,FAHARI GOBA B,S.3853,"1,372,559.80","1,362,370.44","1,086,052.41","1,080,395.69","1,080,087.00","1,076,836.00","1,076,454.00","1,076,263.00","1,074,311.00","1,073,239.00","1,073,239.00","1,070,209.00","13,502,016.34"
451,Dar es Salaam,Ubungo MC,GOBA,S.2356,"1,074,324.58","1,066,349.21","1,013,292.24","1,008,014.50","1,007,726.00","1,004,694.00","1,004,337.00","1,004,159.00","1,002,337.00","1,001,337.00","1,001,337.00","998,510.00","12,186,417.54"
452,Dar es Salaam,Ubungo MC,GOBA MPAKANI,S.3249,"1,238,128.01","1,228,936.63","1,156,672.56","1,150,648.02","1,150,319.00","1,146,857.00","1,146,450.00","1,146,247.00","1,144,167.00","1,143,026.00","1,143,026.00","1,139,798.00","13,934,275.23"
453,Dar es Salaam,Ubungo MC,GOGONI,S.4254,"651,824.69","646,985.80","587,431.30","584,371.66","584,205.00","582,446.00","582,240.00","582,136.00","581,080.00","580,501.00","580,501.00","578,862.00","7,122,584.45"
454,Dar es Salaam,Ubungo MC,HONDOGO,S.3851,"587,433.00","583,072.12","555,331.23","552,438.78","552,281.00","550,619.00","550,423.00","550,326.00","549,327.00","548,779.00","548,779.00","547,230.00","6,676,039.13"
455,Dar es Salaam,Ubungo MC,KIBAMBA,S.3251,"1,653,849.83","1,641,572.29","1,429,523.17","1,422,077.48","1,421,671.00","1,417,393.00","1,416,889.00","1,416,638.00","1,414,068.00","1,412,658.00","1,412,658.00","1,408,669.00","17,467,666.76"
456,Dar es Salaam,Ubungo MC,KIBWEGERE,S.4140,"791,904.87","786,026.07","711,551.58","707,845.45","707,643.00","705,514.00","705,263.00","705,138.00","703,859.00","703,157.00","703,157.00","701,171.00","8,632,229.97"
457,Dar es Salaam,Ubungo MC,KIBWEHERI,S.4255,"887,927.57","881,335.94","535,001.18","532,214.63","532,062.00","530,461.00","530,273.00","530,179.00","529,217.00","528,689.00","528,689.00","527,196.00","7,073,245.32"
458,Dar es Salaam,Ubungo MC,KILUVYA,S.522,"1,627,867.22","1,677,453.65","1,442,363.19","1,492,329.81","1,491,903.00","1,487,413.00","1,486,885.00","1,486,622.00","1,483,924.00","1,482,445.00","1,482,445.00","1,478,258.00","18,119,908.87"
459,Dar es Salaam,Ubungo MC,KIMARA,S.5155,"1,357,873.97","1,347,793.64","1,695,953.76","1,687,120.36","1,686,638.00","1,681,562.00","1,680,965.00","1,680,667.00","1,677,618.00","1,675,945.00","1,675,945.00","1,671,212.00","19,519,293.73"
460,Dar es Salaam,Ubungo MC,KINGONGO,S.2361,"1,499,083.83","1,487,955.21","1,229,432.72","1,223,029.21","1,222,680.00","1,219,000.00","1,218,567.00","1,218,351.00","1,216,141.00","1,214,928.00","1,214,928.00","1,211,497.00","15,175,592.97"
461,Dar es Salaam,Ubungo MC,KINZUDI GOBA C,S.4260,"805,461.02","799,481.58","1,046,462.32","1,041,011.81","1,040,714.00","1,037,582.00","1,037,214.00","1,037,030.00","1,035,148.00","1,034,116.00","1,034,116.00","1,031,196.00","11,979,532.73"
462,Dar es Salaam,Ubungo MC,KWEMBE,S.3819,"892,446.29","885,821.11","785,381.74","851,543.40","851,300.00","848,738.00","848,437.00","848,286.00","846,747.00","845,903.00","845,903.00","843,514.00","10,194,020.54"
463,Dar es Salaam,Ubungo MC,LUGURUNI,S.4139,"734,291.25","728,840.15","568,171.26","565,211.93","565,050.00","563,350.00","563,150.00","563,050.00","562,028.00","561,468.00","561,468.00","559,882.00","7,095,960.59"
464,Dar es Salaam,Ubungo MC,MABIBO,S.4258,"1,529,585.16","1,518,230.11","1,642,453.64","1,633,898.90","1,633,432.00","1,628,516.00","1,627,938.00","1,627,649.00","1,624,696.00","1,623,076.00","1,623,076.00","1,618,493.00","19,331,043.80"
465,Dar es Salaam,Ubungo MC,Makabe,S.5778,,,,,,"311,911.00","311,800.00","311,745.00","311,180.00","310,869.00","310,869.00","309,991.00","2,178,365.00"
466,Dar es Salaam,Ubungo MC,MAKOKA,S.3818,"1,643,682.72","1,631,480.65","1,619,983.59","1,611,545.89","1,611,085.00","1,606,237.00","1,605,666.00","1,605,382.00","1,602,469.00","1,600,871.00","1,600,871.00","1,596,350.00","19,335,623.85"
467,Dar es Salaam,Ubungo MC,MAKURUMLA,S.4257,"1,765,688.04","1,752,580.25","1,415,613.13","1,408,239.90","1,407,837.00","1,403,601.00","1,403,102.00","1,402,853.00","1,400,308.00","1,398,912.00","1,398,912.00","1,394,961.00","17,552,607.32"
468,Dar es Salaam,Ubungo MC,MALAMBAMAWILI,S.3852,"1,627,867.22","1,615,782.56","1,763,363.91","1,754,179.41","1,753,678.00","1,748,400.00","1,747,779.00","1,747,470.00","1,744,299.00","1,742,560.00","1,742,560.00","1,737,639.00","20,725,578.09"
469,Dar es Salaam,Ubungo MC,MANZESE,S.3250,"1,850,413.95","1,836,677.19","1,470,183.26","1,462,525.79","1,462,108.00","1,457,708.00","1,457,190.00","1,456,932.00","1,454,288.00","1,452,838.00","1,452,838.00","1,448,735.00","18,262,437.19"
470,Dar es Salaam,Ubungo MC,MASHUJAA,S.5158,"1,183,903.43","1,200,904.32","1,377,093.05","1,389,080.17","1,388,683.00","1,384,504.00","1,384,012.00","1,383,767.00","1,381,256.00","1,379,879.00","1,379,879.00","1,375,982.00","16,208,942.97"
471,Dar es Salaam,Ubungo MC,MATOSA,S.4135,"1,131,938.20","1,123,535.13","902,012.00","897,313.86","897,057.00","894,358.00","894,040.00","893,882.00","892,260.00","891,370.00","891,370.00","888,853.00","11,197,989.19"
472,Dar es Salaam,Ubungo MC,MBEZI INN,S.1779,"1,709,204.09","1,696,515.62","1,832,914.06","1,823,367.31","1,822,846.00","1,817,360.00","1,816,715.00","1,816,393.00","1,813,097.00","1,811,289.00","1,811,289.00","1,806,175.00","21,577,165.08"
